Name,Distance (ly),Luminosity (L/Lo),Radius (R/Ro),Temperature (K),Spectral Class
Gamma Scorpii 1,3941.3,259.12183,2.7409,13820.0,B8V
Eta Virginis 85,2874.82,23.93171,1.867,11921.8,A0V
Kappa Virginis 8,2992.96,9.25764,1.7505,9102.3,A2V
Iota Cygni 8,3843.28,5.80111,1.3743,8497.5,A5V
Delta Scorpii 16,3766.63,5.84838,1.3737,7623.8,A7V
Beta Scorpii 85,2336.44,3.56835,1.3337,7281.7,F0V
Zeta Lyrae 34,1585.68,2.60603,1.095,6994.9,F2V
Beta Orionis 59,2486.23,1.7378,1.015,6715.1,F5V
Iota Aquilae 17,3733.32,1.54043,1.0391,6247.8,F8V
Gamma Leonis 70,2815.4,1.14467,0.9991,6030.8,G0V
Alpha Virginis 39,3727.31,0.8759,0.9615,5752.9,G2V
Beta Virginis 20,1092.45,0.85121,0.9074,5540.7,G5V
Epsilon Virginis 63,1007.63,0.78163,0.8041,5426.9,G8V
Epsilon Orionis 1,1337.03,0.4327,0.848,5132.3,K0V
Theta Virginis 91,1713.15,0.25193,0.6875,5064.9,K2V
Gamma Virginis 5,3339.07,0.2132,0.5978,4451.0,K5V
Epsilon Tauri 6,3596.12,0.07891,0.5299,4130.8,K8V
Iota Scorpii 80,2998.96,0.07703,0.4355,3890.6,M0V
Gamma Scorpii 4,720.89,0.03773,0.4174,3673.5,M2V
Delta Aquilae 21,3150.39,0.00608,0.3372,3500.5,M3.5V
Delta Lyrae 59,1401.37,0.0051,0.2633,2889.2,M5V
Delta Scorpii 43,1117.44,0.00016,0.1573,2540.5,M8V
Iota Scorpii 87,3924.68,0.00014,0.1164,2046.1,M9V
Epsilon Cygni 75,3850.29,299099.77189,11.084,44345.6,O5V
Zeta Scorpii 78,3937.01,55782.2892,11.598,35140.5,O8V
Alpha Scorpii 1,2081.7,42260.43479,7.7474,33641.6,B0V
Delta Tauri 56,283.8,7649.66379,4.3255,23883.5,B2V
Beta Aquilae 65,1240.04,1639.30369,3.1036,17773.9,B5V
Gamma Lyrae 54,2661.13,327.48717,2.6978,12696.1,B8V
Kappa Aquilae 52,2193.65,10.03653,1.8582,10574.7,A0V
Kappa Andromedae 84,1291.84,17.71929,1.8054,9108.9,A2V
Gamma Centauri 37,2063.84,11.32941,1.4341,8609.2,A5V
Delta Aquilae 29,3227.06,3.73677,1.2139,8190.4,A7V
Kappa Centauri 59,1660.22,3.8893,1.1486,7478.5,F0V
Theta Scorpii 32,593.87,2.62515,1.1839,7158.1,F2V
Beta Scorpii 29,707.01,1.97478,1.0777,6520.1,F5V
Delta Centauri 59,537.0,1.33232,1.0078,6323.6,F8V
Zeta Leonis 79,3260.8,1.25681,0.9599,6081.4,G0V
Theta Cygni 96,3446.56,0.96252,0.9526,5868.0,G2V
Epsilon Virginis 63,2508.56,0.76865,0.8562,5557.1,G5V
Epsilon Tauri 41,3572.56,0.61612,0.8121,5376.6,G8V
Gamma Lyrae 9,1661.93,0.48272,0.7966,5112.5,K0V
Eta Scorpii 99,2338.06,0.3891,0.7657,5029.7,K2V
Eta Leonis 1,3771.21,0.16778,0.6268,4756.7,K5V
Eta Virginis 96,2939.65,0.13199,0.6077,4246.5,K8V
Epsilon Scorpii 63,120.18,0.05345,0.5019,3951.1,M0V
Gamma Leonis 17,3922.97,0.02602,0.436,3727.6,M2V
Alpha Centauri 83,1716.85,0.01367,0.2682,3291.1,M3.5V
Zeta Lyrae 59,1310.21,0.00481,0.1993,3100.8,M5V
Eta Aquilae 11,1883.45,0.00077,0.0852,2780.8,M8V
Delta Centauri 84,165.06,8e-05,0.0748,2335.7,M9V
Kappa Cygni 31,508.55,602094.13346,15.6397,42179.6,O5V
Epsilon Tauri 22,2425.23,98186.73721,10.8734,38666.8,O8V
Gamma Aquilae 14,2316.51,47155.48674,7.3032,33448.2,B0V
Eta Scorpii 92,796.69,7144.68503,5.5764,23457.1,B2V
Epsilon Andromedae 16,3185.76,2001.64488,2.5616,19196.5,B5V
Zeta Centauri 65,2591.65,107.59129,2.3041,13960.8,B8V
Eta Tauri 82,3566.76,51.37654,1.7377,9940.3,A0V
Iota Aquilae 79,3233.6,19.8398,1.6901,9048.5,A2V
Kappa Aquilae 42,3407.48,13.30731,1.3347,8640.8,A5V
Delta Leonis 73,2442.96,4.89495,1.2086,8110.6,A7V
Gamma Leonis 28,1422.01,2.77506,1.1699,7438.5,F0V
Epsilon Virginis 2,2068.54,2.02927,1.0862,7021.9,F2V
Iota Lyrae 89,1906.57,1.82711,1.0672,6506.9,F5V
Epsilon Lyrae 52,2768.44,1.2531,1.0123,6289.3,F8V
Iota Tauri 55,3986.54,1.12016,0.9546,5990.7,G0V
Epsilon Aquilae 30,486.32,0.89815,0.9084,5807.2,G2V
Gamma Lyrae 28,2955.52,0.76912,0.8972,5652.0,G5V
Kappa Aquilae 13,3331.22,0.65925,0.8289,5360.5,G8V
Iota Cygni 36,186.07,0.41363,0.7792,5288.8,K0V
Theta Centauri 2,2298.05,0.34388,0.724,4855.3,K2V
Alpha Aquilae 62,460.07,0.13045,0.639,4630.8,K5V
Alpha Cygni 20,3245.36,0.14542,0.5102,4174.5,K8V
Iota Scorpii 78,2386.2,0.06474,0.5164,3945.1,M0V
Theta Aquilae 76,3960.17,0.01916,0.3932,3732.9,M2V
Beta Lyrae 81,847.41,0.0116,0.2657,3260.8,M3.5V
Beta Cygni 1,1636.55,0.00445,0.2111,2813.1,M5V
Epsilon Aquilae 90,3439.02,0.00016,0.1033,2505.8,M8V
Kappa Lyrae 55,462.82,0.00011,0.0689,2106.3,M9V
Gamma Centauri 8,667.19,330708.85946,17.4896,45692.1,O5V
Epsilon Leonis 16,1877.02,65204.55953,9.61,35633.5,O8V
Iota Leonis 57,325.63,11594.43137,6.7281,29933.9,B0V
Epsilon Orionis 12,918.94,7720.08857,5.6513,25522.7,B2V
Alpha Aquilae 74,164.96,2439.41831,3.2058,19909.1,B5V
Epsilon Cygni 75,1745.91,588.54697,2.9629,13880.0,B8V
Eta Tauri 42,2681.92,87.19598,1.8968,11234.2,A0V
Epsilon Scorpii 98,2202.28,18.00617,1.5887,8958.6,A2V
Eta Virginis 1,2632.08,10.42594,1.4653,8293.8,A5V
Zeta Andromedae 97,1996.08,5.2102,1.2155,7760.2,A7V
Gamma Aquilae 57,3523.89,3.45414,1.1072,7452.0,F0V
Delta Cygni 40,2205.24,2.4627,1.064,7197.7,F2V
Beta Leonis 16,2592.32,1.49238,1.1399,6616.7,F5V
Epsilon Scorpii 62,3921.06,1.22187,1.0096,6253.4,F8V
Kappa Virginis 96,3517.81,1.24561,0.9493,6058.0,G0V
Eta Tauri 65,1071.77,0.85064,0.9508,5867.5,G2V
Kappa Leonis 20,1788.51,0.82109,0.8766,5652.6,G5V
Eta Leonis 42,3478.95,0.79615,0.8191,5376.6,G8V
Eta Orionis 41,2979.89,0.57631,0.8311,5177.2,K0V
Gamma Leonis 5,508.65,0.44307,0.7132,4830.1,K2V
Theta Centauri 68,3642.14,0.12246,0.5973,4748.4,K5V
Gamma Centauri 61,3127.02,0.08385,0.5748,4219.2,K8V
Beta Tauri 87,3437.96,0.0552,0.4475,4029.7,M0V
Theta Virginis 5,2471.44,0.01704,0.4027,3636.2,M2V
Delta Centauri 56,3913.44,0.0126,0.3204,3235.2,M3.5V
Gamma Aquilae 4,187.97,0.00498,0.1881,2949.9,M5V
Gamma Lyrae 68,1650.68,0.00071,0.098,2470.0,M8V
Kappa Scorpii 80,2733.87,0.00014,0.095,2092.9,M9V
Epsilon Leonis 33,2668.76,774181.39878,14.6525,42876.3,O5V
Iota Cygni 10,1769.26,67278.28122,10.3503,37833.6,O8V
Eta Aquilae 59,3381.87,17968.67996,6.5388,30899.2,B0V
Delta Scorpii 74,1438.53,5071.10673,5.2482,22131.6,B2V
Eta Aquilae 2,2265.54,2277.33883,3.617,16294.3,B5V
Kappa Leonis 37,3103.91,238.07103,2.7623,12876.0,B8V
Delta Andromedae 33,2712.41,74.88355,2.1933,11595.8,A0V
Beta Orionis 40,3155.33,8.73402,1.6189,8805.1,A2V
Epsilon Tauri 96,1664.47,7.00795,1.6146,8638.2,A5V
Zeta Virginis 65,3654.31,7.15236,1.2771,8094.8,A7V
Theta Aquilae 96,3482.13,4.4127,1.2171,7230.1,F0V
Delta Scorpii 72,1465.76,2.74882,1.0521,7061.0,F2V
Theta Tauri 87,2997.1,1.5573,1.0572,6755.4,F5V
Zeta Centauri 87,938.51,1.11251,1.0396,6324.6,F8V
Kappa Lyrae 83,256.8,1.22954,0.9937,5960.4,G0V
Eta Centauri 18,185.4,0.8593,0.9697,5723.2,G2V
Delta Virginis 18,1557.15,0.79275,0.926,5639.3,G5V
Iota Scorpii 76,2970.16,0.6309,0.8332,5319.8,G8V
Theta Andromedae 53,3756.47,0.46994,0.819,5143.5,K0V
Theta Lyrae 47,401.2,0.38714,0.7344,5093.4,K2V
Zeta Orionis 51,1106.57,0.27491,0.6939,4729.7,K5V
Beta Lyrae 83,2559.49,0.1474,0.5061,4200.1,K8V
Gamma Andromedae 27,278.35,0.07061,0.4311,3904.0,M0V
Delta Tauri 19,3155.46,0.02788,0.3416,3845.2,M2V
Gamma Virginis 33,3194.9,0.0061,0.3366,3246.1,M3.5V
Zeta Lyrae 76,1297.93,0.00187,0.1568,3096.7,M5V
Iota Centauri 96,258.17,0.0005,0.1162,2637.5,M8V
Theta Virginis 29,3781.89,9e-05,0.107,2346.8,M9V
Iota Aquilae 59,2574.86,123362.97963,19.9859,48473.0,O5V
Eta Centauri 63,2850.81,72178.11647,11.5971,35932.7,O8V
Gamma Centauri 17,1103.11,35323.06897,7.1934,29951.1,B0V
Kappa Virginis 38,1817.16,7237.98754,3.7479,26210.7,B2V
Iota Lyrae 56,1808.52,1225.53522,3.0084,18721.0,B5V
Eta Centauri 41,1709.46,499.06472,2.2492,12610.6,B8V
Theta Centauri 12,3327.79,18.39071,1.6869,11347.0,A0V
Gamma Virginis 8,2347.6,20.3549,1.5978,8797.8,A2V
Zeta Scorpii 93,209.77,7.87629,1.425,8251.8,A5V
Iota Lyrae 20,2628.39,4.12122,1.2325,8107.2,A7V
Zeta Centauri 98,1117.3,2.67848,1.2073,7424.4,F0V
Kappa Andromedae 87,2572.3,1.8315,1.1894,7148.8,F2V
Epsilon Orionis 24,1096.13,1.85745,1.1382,6640.4,F5V
Gamma Cygni 73,2630.82,1.13479,1.0267,6488.7,F8V
Beta Virginis 28,1507.4,1.08146,0.941,5962.3,G0V
Zeta Andromedae 77,343.67,0.86315,0.911,5823.6,G2V
Beta Aquilae 57,2649.17,0.82142,0.8854,5554.6,G5V
Iota Centauri 45,1722.05,0.65665,0.8543,5397.3,G8V
Epsilon Orionis 29,1583.59,0.54983,0.7508,5160.3,K0V
Delta Cygni 98,1025.2,0.31562,0.6808,5024.1,K2V
Gamma Cygni 49,2132.29,0.15682,0.647,4667.2,K5V
Zeta Centauri 51,3447.64,0.06381,0.5022,4376.3,K8V
Zeta Andromedae 55,2295.39,0.06838,0.4627,3878.8,M0V
Alpha Tauri 22,3206.12,0.02854,0.4248,3825.9,M2V
Beta Scorpii 14,976.44,0.01089,0.3024,3338.5,M3.5V
Epsilon Tauri 29,1335.08,0.00184,0.2164,2845.6,M5V
Iota Lyrae 45,1407.12,0.00096,0.1445,2459.1,M8V
Beta Cygni 33,792.46,0.00015,0.1056,2262.2,M9V
Gamma Leonis 60,3018.81,669907.86221,14.4891,49241.5,O5V
Kappa Andromedae 42,3457.56,81360.87034,8.6038,34409.7,O8V
Theta Aquilae 36,2367.4,24077.6889,5.2968,30770.5,B0V
Alpha Orionis 48,3327.49,3537.11701,5.6606,27131.8,B2V
Kappa Andromedae 65,1540.52,2034.75764,3.9313,20433.5,B5V
Alpha Leonis 74,2608.81,292.91606,2.3708,12603.4,B8V
Alpha Leonis 14,3244.66,85.36395,2.4841,9710.8,A0V
Gamma Orionis 32,2831.71,29.80169,1.7144,9187.8,A2V
Zeta Tauri 37,1552.24,12.74465,1.5716,8226.2,A5V
Zeta Centauri 43,381.83,6.3919,1.2852,8034.2,A7V
Kappa Cygni 43,329.87,3.99084,1.3292,7324.1,F0V
Eta Cygni 77,2836.56,1.90166,1.1338,7093.0,F2V
Zeta Cygni 86,2812.57,1.96827,1.1496,6865.0,F5V
Beta Scorpii 66,1449.99,1.2813,0.9762,6185.7,F8V
Theta Lyrae 29,3999.91,0.96198,0.9507,6057.6,G0V
Iota Virginis 95,3535.22,0.85944,0.9236,5853.3,G2V
Gamma Andromedae 49,620.56,0.74521,0.9054,5624.9,G5V
Gamma Leonis 6,1645.91,0.73527,0.819,5388.8,G8V
Epsilon Leonis 30,2138.0,0.47737,0.8309,5193.8,K0V
Delta Tauri 87,3788.74,0.44689,0.7262,4884.5,K2V
Eta Virginis 68,1677.08,0.14593,0.604,4641.9,K5V
Epsilon Orionis 83,1924.54,0.09341,0.6121,4313.4,K8V
Iota Centauri 37,339.35,0.04641,0.4674,3978.3,M0V
Eta Centauri 29,3267.58,0.03654,0.4396,3674.5,M2V
Eta Virginis 48,946.32,0.01495,0.2875,3209.9,M3.5V
Beta Tauri 19,554.02,0.00243,0.2579,3078.4,M5V
Gamma Leonis 58,2463.01,0.00092,0.0819,2486.3,M8V
Gamma Virginis 94,2437.16,0.00013,0.1066,2095.1,M9V
Beta Orionis 31,1681.74,695424.33148,14.5711,41108.6,O5V
Theta Andromedae 69,69.87,75768.78651,8.9678,34861.5,O8V
Eta Orionis 79,1413.98,32826.54864,5.7493,32009.3,B0V
Iota Tauri 9,3813.81,6808.57372,5.466,25045.7,B2V
Alpha Scorpii 61,178.15,1589.82704,3.06,20483.9,B5V
Zeta Centauri 45,967.69,494.26264,1.9244,14327.6,B8V
Zeta Cygni 6,1411.92,40.46925,2.1785,11576.0,A0V
Theta Leonis 81,732.55,10.96676,1.8296,9454.9,A2V
Alpha Aquilae 26,179.24,6.9947,1.3168,8666.7,A5V
Iota Scorpii 70,1895.81,3.1831,1.3941,7771.7,A7V
Alpha Tauri 35,501.58,3.10406,1.3224,7497.3,F0V
Eta Tauri 24,1986.93,2.39703,1.1886,7055.8,F2V
Beta Scorpii 11,1724.82,1.99706,1.0271,6617.5,F5V
Beta Centauri 42,2645.1,1.25325,1.0142,6270.4,F8V
Theta Tauri 58,173.44,1.24801,0.9547,6099.6,G0V
Epsilon Orionis 10,2686.12,0.95155,0.9359,5850.0,G2V
Gamma Orionis 19,3395.31,0.86952,0.8851,5525.2,G5V
Delta Tauri 47,1534.01,0.71345,0.8484,5435.8,G8V
Zeta Tauri 57,3053.33,0.54348,0.8029,5179.6,K0V
Epsilon Lyrae 15,107.74,0.28721,0.7318,5074.1,K2V
Beta Aquilae 34,2817.39,0.15433,0.6534,4677.6,K5V
Theta Lyrae 16,546.54,0.06666,0.5207,4314.0,K8V
Beta Tauri 86,1392.44,0.0426,0.4813,4072.8,M0V
Gamma Cygni 47,2037.09,0.01364,0.3301,3591.7,M2V
Theta Orionis 47,2217.96,0.00869,0.3304,3393.1,M3.5V
Kappa Centauri 9,1240.06,0.006,0.2435,3010.3,M5V
Eta Andromedae 10,504.98,0.00039,0.0874,2586.3,M8V
Iota Tauri 17,3512.35,0.00017,0.0984,2072.8,M9V
Gamma Scorpii 65,3643.22,141559.63751,11.2416,41530.2,O5V
Gamma Cygni 42,3739.23,61273.51424,11.7899,37113.4,O8V
Epsilon Centauri 33,788.58,48254.06508,6.0978,31750.1,B0V
Kappa Virginis 12,2012.38,4180.45131,5.854,22925.2,B2V
Kappa Andromedae 44,3370.78,1996.32148,3.7379,16170.2,B5V
Alpha Andromedae 34,2605.99,560.1754,2.2999,14556.0,B8V
Theta Virginis 38,2569.13,37.18847,1.8204,11518.4,A0V
Eta Aquilae 59,295.79,9.31809,1.6638,9087.4,A2V
Delta Tauri 78,578.27,13.61485,1.4277,8694.0,A5V
Zeta Scorpii 17,3043.67,5.5749,1.2319,7745.0,A7V
Beta Aquilae 58,994.83,2.29043,1.1726,7353.7,F0V
Kappa Scorpii 32,3850.9,2.88277,1.172,7180.1,F2V
Zeta Lyrae 98,640.9,1.99758,1.07,6851.6,F5V
Theta Orionis 12,3781.16,1.35272,1.047,6186.1,F8V
Zeta Orionis 7,1128.44,1.13901,0.989,6034.5,G0V
Epsilon Virginis 2,3389.33,0.95773,0.9618,5845.5,G2V
Eta Tauri 6,1604.84,0.84257,0.8656,5610.6,G5V
Beta Scorpii 65,1803.73,0.70997,0.866,5424.6,G8V
Kappa Centauri 17,3900.44,0.49848,0.8295,5167.8,K0V
Zeta Cygni 26,2411.52,0.33028,0.684,4811.7,K2V
Zeta Leonis 67,1830.23,0.217,0.6419,4531.2,K5V
Kappa Tauri 21,1574.37,0.11549,0.6011,4278.1,K8V
Iota Virginis 69,1961.53,0.06252,0.4712,3854.2,M0V
Zeta Centauri 54,2336.56,0.0339,0.4088,3756.4,M2V
Alpha Andromedae 61,1065.21,0.01156,0.3472,3402.5,M3.5V
Delta Orionis 75,1923.98,0.00362,0.2438,3109.8,M5V
Eta Cygni 88,971.97,0.00062,0.1501,2476.3,M8V
Theta Tauri 54,609.29,0.00016,0.0846,2310.0,M9V
Theta Orionis 91,555.95,255506.27873,13.2505,46622.3,O5V
Iota Scorpii 41,3826.92,72983.1766,10.1325,37277.6,O8V
Epsilon Andromedae 62,772.45,19860.76542,7.2323,29349.2,B0V
Epsilon Aquilae 91,832.44,7934.91782,4.2926,24092.8,B2V
Epsilon Aquilae 16,2295.7,1949.33902,3.8436,18367.2,B5V
Zeta Cygni 38,172.29,673.18823,1.8948,15696.0,B8V
Epsilon Leonis 28,811.62,58.47201,2.4397,11240.4,A0V
Gamma Centauri 79,2964.65,13.26421,1.4305,9424.1,A2V
Delta Lyrae 7,404.57,8.30294,1.489,8540.6,A5V
Gamma Orionis 71,3911.74,3.78971,1.3959,8128.4,A7V
Theta Leonis 84,801.19,4.89174,1.1803,7458.4,F0V
Beta Andromedae 30,2142.56,2.66774,1.1905,7174.0,F2V
Gamma Scorpii 23,3735.97,1.4218,1.1254,6815.2,F5V
Gamma Aquilae 5,41.23,1.38398,0.9697,6493.2,F8V
Epsilon Leonis 83,2175.12,1.09756,0.9957,6070.2,G0V
Theta Aquilae 25,3236.06,0.93267,0.9512,5829.7,G2V
Gamma Orionis 95,1351.23,0.77376,0.904,5538.6,G5V
Kappa Scorpii 55,2063.16,0.61735,0.8535,5337.0,G8V
Gamma Leonis 42,3743.57,0.40171,0.7884,5189.3,K0V
Epsilon Tauri 39,2331.6,0.36458,0.7062,4907.9,K2V
Delta Orionis 86,476.6,0.16909,0.6286,4601.0,K5V
Epsilon Centauri 82,3664.87,0.08655,0.5738,4165.7,K8V
Gamma Leonis 20,1822.2,0.07955,0.456,4025.5,M0V
Theta Virginis 86,3303.15,0.03286,0.4021,3728.7,M2V
Beta Virginis 58,2114.67,0.00862,0.3417,3239.3,M3.5V
Iota Virginis 26,2292.6,0.00175,0.1927,3008.1,M5V
Beta Lyrae 92,2334.34,0.00018,0.131,2723.5,M8V
Theta Cygni 66,1664.15,0.00015,0.0935,2269.1,M9V
Epsilon Orionis 51,1020.96,102261.60369,12.179,40730.3,O5V
Eta Tauri 90,258.97,99706.18302,11.7383,34414.1,O8V
Theta Orionis 37,1637.95,40758.8825,8.0633,33870.0,B0V
Eta Tauri 49,1796.46,9419.80554,4.4437,22481.5,B2V
Iota Cygni 84,3441.73,972.85628,3.9893,18358.4,B5V
Gamma Lyrae 1,3025.74,687.09441,2.3556,14876.4,B8V
Eta Virginis 49,3294.18,32.27608,1.9115,10189.1,A0V
Beta Orionis 85,1679.4,24.85318,1.9303,8712.5,A2V
Delta Centauri 13,2377.48,9.46441,1.5688,8636.1,A5V
Delta Orionis 52,1758.21,5.6988,1.4263,8065.6,A7V
Gamma Virginis 38,939.86,4.74919,1.244,7431.0,F0V
Zeta Lyrae 39,3505.55,2.98283,1.1282,7024.1,F2V
Epsilon Orionis 72,3794.3,1.92783,1.1367,6750.4,F5V
Eta Virginis 64,191.54,1.27221,1.0179,6252.5,F8V
Iota Tauri 90,1667.75,0.95969,0.9564,6050.9,G0V
Theta Lyrae 29,1205.88,1.02689,0.9564,5882.9,G2V
Iota Scorpii 54,2231.01,0.73352,0.8694,5540.7,G5V
Beta Leonis 48,373.67,0.74492,0.8152,5353.7,G8V
Kappa Andromedae 6,3495.01,0.44704,0.8262,5244.9,K0V
Iota Lyrae 62,838.88,0.43141,0.7103,5072.7,K2V
Delta Lyrae 95,472.97,0.27993,0.6375,4497.0,K5V
Kappa Lyrae 51,3660.86,0.10969,0.5931,4214.2,K8V
Iota Tauri 40,1049.35,0.06051,0.4746,3874.7,M0V
Theta Tauri 27,1485.46,0.02242,0.3844,3616.4,M2V
Gamma Orionis 34,2215.12,0.01084,0.322,3303.3,M3.5V
Delta Tauri 30,1521.96,0.00517,0.2149,3061.8,M5V
Zeta Aquilae 98,3287.12,0.00097,0.1442,2596.2,M8V
Gamma Tauri 22,563.45,0.00015,0.071,2355.7,M9V
Alpha Virginis 5,3356.95,155747.80858,18.18,40485.1,O5V
Alpha Scorpii 18,3370.84,61571.6696,10.8287,34054.8,O8V
Iota Leonis 48,245.75,35509.14367,8.7356,33476.5,B0V
Theta Orionis 1,2130.81,5879.36956,3.5418,26333.2,B2V
Iota Aquilae 3,2010.95,2305.07588,3.1459,21638.3,B5V
Gamma Centauri 13,2099.54,244.5813,2.5437,13009.7,B8V
Zeta Aquilae 51,319.95,96.3368,2.0131,10108.0,A0V
Delta Aquilae 88,3312.97,9.77357,1.995,9219.9,A2V
Alpha Centauri 52,1519.66,10.52701,1.3224,8204.7,A5V
Gamma Centauri 64,3381.97,6.22454,1.2994,8186.4,A7V
Beta Virginis 6,922.3,4.70382,1.2731,7426.7,F0V
Epsilon Orionis 10,2739.04,2.13645,1.1315,7097.4,F2V
Gamma Tauri 3,3846.04,1.75222,1.1128,6785.1,F5V
Eta Centauri 39,653.32,1.22024,1.0351,6255.7,F8V
Iota Tauri 50,3023.46,0.95598,0.9992,6044.8,G0V
Iota Tauri 7,394.53,0.90804,0.9053,5821.0,G2V
Kappa Andromedae 51,3875.81,0.78159,0.9007,5656.7,G5V
Theta Leonis 30,1425.95,0.78823,0.8345,5435.9,G8V
Eta Centauri 99,2476.07,0.59951,0.8213,5116.4,K0V
Gamma Scorpii 92,3136.47,0.28086,0.719,4908.2,K2V
Beta Orionis 40,1781.28,0.24182,0.5923,4434.9,K5V
Eta Leonis 72,2220.83,0.09672,0.5032,4206.2,K8V
Beta Andromedae 77,3138.66,0.07455,0.4019,3953.5,M0V
Beta Virginis 32,2289.64,0.01509,0.3571,3591.7,M2V
Epsilon Aquilae 64,587.33,0.00667,0.2776,3304.9,M3.5V
Beta Tauri 33,3777.12,0.0046,0.2145,3046.7,M5V
Theta Centauri 18,1221.55,0.00095,0.1132,2648.1,M8V
Zeta Leonis 43,1724.86,0.00018,0.0991,2237.8,M9V
Epsilon Tauri 78,3789.34,250638.61653,13.1418,49645.7,O5V
Zeta Aquilae 95,2781.11,74550.36564,10.3035,35454.5,O8V
Eta Aquilae 51,1462.73,47282.6861,5.7992,33983.6,B0V
Gamma Virginis 4,3812.22,6231.35556,5.2709,24630.7,B2V
Epsilon Centauri 53,2693.28,1020.11198,2.9542,17516.1,B5V
Gamma Scorpii 49,299.75,694.42037,2.3751,13603.2,B8V
Iota Scorpii 70,151.11,97.15852,2.2315,11530.7,A0V
Kappa Centauri 14,3076.79,22.46724,1.613,9217.6,A2V
Alpha Andromedae 83,2711.24,8.99618,1.6011,8682.9,A5V
Eta Centauri 2,398.21,4.11001,1.4241,7934.8,A7V
Kappa Lyrae 58,1499.11,3.38919,1.2699,7476.2,F0V
Gamma Tauri 4,1933.26,2.15452,1.1881,6925.8,F2V
Gamma Tauri 40,1375.03,1.87056,1.0782,6639.3,F5V
Beta Leonis 93,2788.33,1.25945,0.987,6424.1,F8V
Beta Orionis 44,2593.36,1.17086,0.9415,6096.8,G0V
Delta Virginis 23,2209.52,0.93275,0.9298,5792.4,G2V
Eta Cygni 24,2563.43,0.80803,0.8523,5622.8,G5V
Delta Leonis 76,1720.61,0.60089,0.8172,5355.7,G8V
Beta Andromedae 14,3198.85,0.53422,0.7866,5139.4,K0V
Beta Aquilae 86,3451.12,0.35554,0.7439,4979.1,K2V
Kappa Scorpii 76,460.65,0.17632,0.6349,4469.0,K5V
Epsilon Andromedae 76,342.85,0.07206,0.5141,4191.6,K8V
Gamma Tauri 89,569.04,0.05554,0.4895,3993.7,M0V
Eta Cygni 63,2543.54,0.0308,0.3968,3850.0,M2V
Iota Cygni 63,1158.33,0.00687,0.3342,3416.8,M3.5V
Zeta Orionis 63,549.77,0.00508,0.2753,3002.2,M5V
Theta Scorpii 88,1969.04,0.00074,0.1244,2466.9,M8V
Kappa Orionis 98,885.39,8e-05,0.0735,2115.5,M9V
Theta Andromedae 96,3091.15,471485.00727,15.1081,45727.1,O5V
Epsilon Virginis 47,2170.1,87839.31212,11.04,36648.2,O8V
Delta Scorpii 14,2945.06,36146.8681,5.9901,33248.9,B0V
Alpha Leonis 34,1397.04,8717.1001,4.5977,27963.7,B2V
Delta Lyrae 95,2353.43,1506.45093,3.5661,19796.6,B5V
Gamma Andromedae 18,3140.3,588.11792,2.7665,14280.3,B8V
